Price,Model,"Year, Engine, Distance","Location, Date"
20 800 AZN,Mercedes E 220 d,"2007, 2.2 L, 295 000 km","Bakı, dünən 20:58"
11 900 AZN,Mitsubishi Pajero,"2005, 3.0 L, 456 000 km","Xırdalan, bugün 18:19"
15 900 AZN,Fiat Qubo,"2012, 1.3 L, 177 771 km","Bakı, bugün 15:12"
29 000 $,Mercedes C 300,"2018, 2.0 L, 60 000 km","Bakı, bugün 10:09"
18 700 AZN,Hyundai Elantra,"2011, 1.8 L, 166 000 km","Bərdə, bugün 03:02"
33 500 AZN,Hyundai Santa Fe,"2016, 2.0 L, 189 000 km","Bakı, bugün 03:01"
5 200 AZN,LADA (VAZ) 2106,"1997, 1.5 L, 60 000 km","Bakı, bugün 09:10"
6 300 AZN,LADA (VAZ) Niva,"2001, 1.7 L, 258 000 km","Bakı, bugün 02:59"
21 900 AZN,Ford Transit,"2011, 2.2 L, 352 000 km","Bakı, bugün 02:59"
17 300 AZN,BMW X5,"2005, 4.4 L, 236 000 km","Bakı, bugün 16:16"
22 900 AZN,Kia K3,"2016, 1.6 L, 191 000 km","Lənkəran, bugün 02:55"
21 500 AZN,Hyundai Sonata,"2010, 2.4 L, 188 000 km","Bakı, bugün 02:54"
27 300 $,BMW X5,"2016, 2.0 L, 173 500 km","Bakı, bugün 02:52"
16 200 AZN,Kia Rio,"2013, 1.4 L, 261 000 km","Bakı, bugün 12:57"
21 000 AZN,Toyota Prius,"2014, 1.8 L, 183 000 km","Bakı, bugün 02:51"
22 000 AZN,Kia Optima,"2012, 2.0 L, 241 000 km","Qusar, bugün 02:51"
6 500 AZN,Daewoo Nexia,"2009, 1.5 L, 451 087 km","Gəncə, bugün 02:49"
16 500 AZN,Mitsubishi Pajero,"2006, 3.0 L, 207 000 km","Bakı, bugün 02:49"
21 000 AZN,Hyundai Elantra,"2011, 2.0 L, 180 000 km","Göygöl, bugün 02:48"
33 500 AZN,Toyota Corolla Cross,"2023, 2.0 L, 32 000 km","Bakı, bugün 02:47"
63 500 $,Land Rover Range Rover,"2018, 3.0 L, 113 000 km","Bakı, bugün 02:46"
2 950 AZN,LADA (VAZ) 2106,"1988, 1.5 L, 38 888 km","Xaçmaz, bugün 03:02"
27 900 $,Toyota Land Cruiser,"2010, 4.0 L, 185 000 km","Bakı, bugün 02:43"
47 500 AZN,Changan CS 95,"2022, 2.0 L, 38 000 km","Bakı, bugün 02:42"
6 300 AZN,Mercedes S 320,"2001, 3.2 L, 474 000 km","Bakı, bugün 02:41"
28 500 AZN,Hyundai Santa Fe,"2013, 2.4 L, 210 000 km","Bakı, bugün 02:39"
10 800 AZN,Kia Pride,"2006, 1.5 L, 403 000 km","Bakı, bugün 02:38"
12 500 AZN,Opel Astra,"2008, 1.3 L, 209 000 km","Bakı, bugün 02:38"
39 900 AZN,Geely Galaxy L6,"2025, 1.5 L, 0 km","Bakı, bugün 13:09"
64 700 $,IM LS7,"2024, 0 km","Bakı, bugün 16:44"
23 550 $,Mazda EZ-6,"2024, 1.5 L, 0 km","Bakı, dünən 21:08"
84 500 $,Porsche Cayenne,"2022, 3.0 L, 42 000 km","Bakı, bugün 12:49"
24 900 AZN,Toyota RAV4,"2013, 2.5 L, 235 000 km","Bakı, bugün 16:14"
31 500 AZN,Ford Transit,"2014, 2.2 L, 234 000 km","Bakı, dünən 20:46"
27 500 AZN,Lincoln MKZ,"2016, 2.0 L, 124 821 km","Bakı, bugün 15:20"
21 800 AZN,Honda Civic,"2018, 1.5 L, 114 000 km","Bakı, bugün 12:17"
38 800 $,Kia Sorento,"2021, 1.6 L, 35 000 km","Bakı, dünən 21:34"
114 000 AZN,Volvo FH 460,"2014, 12 L, 1 188 000 km","Bakı, bugün 09:50"
22 500 AZN,Toyota Corolla,"2017, 1.8 L, 194 731 km","Bakı, bugün 13:00"
9 700 AZN,BMW 320,"2003, 2.0 L, 416 725 km","Bakı, bugün 12:56"
47 800 AZN,Changan Uni-K iDD,"2023, 1.5 L, 15 500 km","Bakı, bugün 02:37"
32 900 AZN,Hyundai Elantra,"2023, 1.6 L, 31 000 km","Bakı, bugün 02:37"
20 000 $,Audi A6,"2015, 3.0 L, 180 000 km","Bakı, bugün 02:36"
8 700 AZN,Hyundai Getz,"2004, 1.3 L, 292 222 km","Bakı, bugün 02:35"
17 400 AZN,Hyundai Veloster,"2013, 1.6 L, 220 000 km","Bakı, bugün 02:35"
15 500 AZN,Ford Fusion (North America),"2015, 1.5 L, 234 869 km","Bakı, bugün 02:38"
6 800 AZN,Volkswagen Passat,"2004, 1.8 L, 336 000 km","Bakı, bugün 02:34"
14 000 AZN,Honda Insight,"2010, 1.3 L, 218 000 km","Bakı, bugün 02:32"
11 700 AZN,GWM Hover M2,"2014, 1.5 L, 191 000 km","Bakı, bugün 02:32"
17 500 $,BMW 328,"2015, 2.0 L, 126 500 km","Bakı, bugün 02:39"
5 400 AZN,LADA (VAZ) 2107,"2006, 1.6 L, 65 000 km","Bakı, bugün 02:31"
14 300 AZN,Nissan Sunny,"2010, 1.6 L, 267 000 km","Bakı, bugün 02:29"
77 000 $,Land Rover RR Sport,"2015, 5.0 L, 88 000 km","Bakı, bugün 02:27"
34 500 $,Toyota Land Cruiser,"2013, 4.0 L, 158 000 km","Bakı, bugün 02:26"
9 800 AZN,Nissan Sunny,"2007, 1.3 L, 460 000 km","Bakı, bugün 02:26"
18 900 AZN,Toyota Prius,"2013, 1.8 L, 403 945 km","Bakı, bugün 02:22"
17 000 $,Land Rover RR Evoque,"2012, 2.0 L, 174 000 km","Bakı, bugün 02:21"
12 400 AZN,Volkswagen Passat,"2008, 1.8 L, 312 000 km","Bakı, bugün 02:20"
22 800 $,BMW 520,"2015, 2.0 L, 274 000 km","Bakı, bugün 02:20"
14 600 AZN,Mercedes E 230,"1997, 2.3 L, 210 000 km","Bakı, bugün 10:16"
28 500 AZN,Hyundai Sonata,"2014, 2.0 L, 200 000 km","Bakı, bugün 02:34"
13 000 AZN,Changan Raeton,"2014, 1.8 L, 310 000 km","Bakı, bugün 02:14"
21 900 AZN,Kia Sportage,"2010, 2.4 L, 245 011 km","Bakı, bugün 02:14"
12 200 AZN,Daewoo Gentra,"2014, 1.5 L, 241 842 km","Bakı, bugün 02:14"
39 900 $,Voyah Free,"2024, 1.5 L, 0 km","Bakı, bugün 16:23"
226 700 $,Land Rover Range Rover,"2024, 3.0 L, 0 km","Bakı, bugün 16:38"
32 900 AZN,Geely Emgrand,"2024, 1.5 L, 0 km","Bakı, bugün 12:31"
49 900 $,Li Auto L7,"2025, 1.5 L, 0 km","Bakı, bugün 18:51"
12 500 AZN,SEAT Ibiza,"2014, 1.6 L, 126 000 km","Bakı, bugün 18:16"
15 500 AZN,Kia Forte,"2012, 2.0 L, 230 000 km","Bakı, bugün 11:16"
22 000 AZN,Ford Edge,"2013, 3.5 L, 195 000 km","Bakı, bugün 16:31"
14 600 AZN,Mercedes E 230,"1997, 2.3 L, 210 000 km","Bakı, bugün 10:16"
24 000 $,BMW 520,"2016, 2.0 L, 92 000 km","Bakı, bugün 10:50"
23 800 $,BMW 530,"2017, 2.0 L, 138 000 km","Bakı, bugün 16:31"
12 700 AZN,Toyota Prius,"2005, 1.5 L, 271 000 km","Bakı, bugün 05:20"
37 500 $,Lexus ES 250,"2020, 2.5 L, 147 000 km","Bakı, bugün 10:46"
13 000 AZN,Changan Raeton,"2014, 1.8 L, 310 000 km","Bakı, bugün 02:14"
21 900 AZN,Kia Sportage,"2010, 2.4 L, 245 011 km","Bakı, bugün 02:14"
12 200 AZN,Daewoo Gentra,"2014, 1.5 L, 241 842 km","Bakı, bugün 02:14"
26 900 $,BMW 520,"2017, 2.0 L, 121 000 km","Bakı, bugün 02:14"
17 000 AZN,Volkswagen Passat CC,"2013, 2.0 L, 191 000 km","Bakı, bugün 02:14"
37 900 $,BMW 530e,"2021, 2.0 L, 57 750 km","Bakı, bugün 02:13"
26 900 AZN,Ford Fusion (North America),"2017, 2.0 L, 187 000 km","Bakı, bugün 02:11"
15 000 AZN,Hyundai i30,"2009, 1.4 L, 166 775 km","Bakı, bugün 02:10"
31 800 AZN,BMW 320,"2017, 2.0 L, 105 000 km","Bakı, bugün 02:20"
21 000 $,Toyota Camry,"2015, 2.5 L, 127 000 km","Bakı, bugün 02:09"
18 500 AZN,Kia Sportage,"2009, 2.0 L, 223 558 km","Bakı, bugün 02:08"
2 000 AZN,Yamaha RAY-ZR,"2020, 150 sm3, 59 100 km","Bakı, bugün 02:07"
23 000 $,BMW 528,"2016, 2.0 L, 100 000 km","Bakı, bugün 02:07"
46 000 AZN,Lexus NX 300,"2018, 2.0 L, 137 000 km","Bakı, bugün 02:06"
39 000 $,Hyundai Santa Cruz,"2023, 2.5 L, 5 000 km","Bakı, bugün 02:06"
41 500 AZN,Kia Sorento,"2017, 2.0 L, 170 000 km","Bakı, bugün 02:04"
60 500 $,BMW 520,"2023, 2.0 L, 28 250 km","Bakı, bugün 02:03"
85 500 $,Porsche Taycan 4 Cross Turismo,"2022, 4 000 km","Bakı, bugün 02:03"
125 000 $,Mercedes S 400 d 4MATIC,"2021, 3.0 L, 38 375 km","Bakı, bugün 02:03"
17 000 AZN,Chevrolet Malibu,"2016, 1.5 L, 220 674 km","Bakı, bugün 02:02"
10 900 AZN,Toyota Surf,"1992, 2.5 L, 365 000 km","Bakı, bugün 02:01"
28 000 AZN,BMW 528,"2016, 2.0 L, 190 000 km","Bakı, bugün 01:59"
87 000 $,BMW X6,"2022, 3.0 L, 30 000 km","Bakı, bugün 01:58"
39 900 AZN,BMW 530e,"2018, 2.0 L, 275 000 km","Bakı, bugün 01:57"
62 771 €,Mercedes C 200,"2024, 1.5 L, 0 km","Bakı, bugün 11:51"
47 990 $,BMW i5,"2025, 0 km","Bakı, dünən 22:58"
60 000 AZN,Lexus NX 350h,"2021, 2.5 L, 51 000 km","Bakı, bugün 17:36"
34 900 AZN,Mercedes E 220 d,"2015, 2.2 L, 177 300 km","Bakı, bugün 17:17"
25 900 AZN,Mercedes E 200,"2011, 1.8 L, 210 000 km","Bakı, bugün 18:56"
31 800 AZN,Hyundai Santa Fe,"2015, 2.0 L, 163 300 km","Bakı, bugün 06:30"
32 300 AZN,Hyundai Santa Fe,"2014, 2.0 L, 180 500 km","Bakı, bugün 12:51"
23 500 AZN,Hyundai Elantra,"2019, 2.0 L, 146 000 km","Bakı, dünən 21:12"
22 900 AZN,Volkswagen Passat CC,"2015, 2.0 L, 139 500 km","Bakı, bugün 18:53"
18 300 AZN,Nissan Note,"2020, 1.2 L, 18 800 km","Bakı, bugün 10:45"
59 500 $,Mercedes V 250,"2019, 2.0 L, 127 000 km","Bakı, bugün 15:35"
46 900 $,Land Rover Range Rover,"2017, 3.0 L, 167 000 km","Bakı, bugün 15:34"
17 000 AZN,Chevrolet Malibu,"2016, 1.5 L, 220 674 km","Bakı, bugün 02:02"
10 900 AZN,Toyota Surf,"1992, 2.5 L, 365 000 km","Bakı, bugün 02:01"
28 000 AZN,BMW 528,"2016, 2.0 L, 190 000 km","Bakı, bugün 01:59"
87 000 $,BMW X6,"2022, 3.0 L, 30 000 km","Bakı, bugün 01:58"
39 900 AZN,BMW 530e,"2018, 2.0 L, 275 000 km","Bakı, bugün 01:57"
22 000 AZN,Toyota Aqua,"2019, 1.5 L, 33 600 km","Bakı, bugün 01:57"
10 300 AZN,Saipa Saina,"2021, 1.5 L, 109 000 km","Bakı, bugün 02:20"
23 900 AZN,Hyundai Elantra,"2017, 1.6 L, 91 300 km","Sumqayıt, bugün 01:56"
35 500 AZN,Kia K5,"2020, 1.6 L, 35 000 km","Bakı, bugün 01:56"
20 500 AZN,Ford Transit,"1998, 2.5 L, 270 000 km","Qəbələ, bugün 09:28"
14 500 AZN,Mercedes E 270,"2002, 2.7 L, 396 000 km","Naxçıvan, bugün 11:44"
46 000 AZN,Mercedes C 200 d,"2016, 1.6 L, 329 329 km","Bakı, bugün 02:37"
32 500 AZN,Toyota Corolla Cross,"2024, 2.0 L, 15 000 km","Bakı, bugün 01:54"
27 200 AZN,Kia Optima,"2014, 2.0 L, 140 000 km","Bakı, bugün 01:54"
23 500 $,Hummer H2,"2003, 6.0 L, 165 000 km","Bakı, bugün 01:53"
27 900 AZN,BMW 530,"2015, 2.0 L, 98 170 km","Bakı, bugün 14:11"
31 500 AZN,Mercedes Atego 816,"2008, 4.3 L, 450 000 km","Bakı, bugün 01:52"
32 800 AZN,Ford Transit,"2008, 2.4 L, 159 200 km","Bakı, bugün 01:51"
12 800 AZN,Mercedes C 320,"2002, 3.2 L, 280 000 km","Bakı, bugün 01:50"
24 500 AZN,Chevrolet Malibu,"2022, 1.5 L, 101 000 km","Bakı, bugün 01:49"
44 500 $,IM L7,"2022, 24 000 km","Bakı, bugün 01:56"
29 800 AZN,Mercedes Viano,"2007, 2.2 L, 692 000 km","Bakı, bugün 01:45"
4 500 AZN,GAZ 2705,"2000, 2.4 L, 250 000 km","Bakı, bugün 01:43"
26 500 AZN,BMW 328,"2015, 2.0 L, 181 067 km","Bakı, bugün 01:43"
36 900 AZN,Changan Qiyuan Q05,"2024, 1.5 L, 0 km","Bakı, bugün 18:23"
50 040 $,Toyota Highlander,"2024, 2.5 L, 0 km","Bakı, bugün 06:10"
27 900 $,Mazda EZ-6,"2024, 1.5 L, 0 km","Bakı, bugün 11:09"
30 900 AZN,Chery Tiggo 2 Pro Max,"2024, 1.5 L, 0 km","Bakı, bugün 11:42"
23 000 AZN,Hyundai Avante,"2018, 1.6 L, 124 000 km","Bakı, bugün 14:08"
27 900 AZN,Kia Optima,"2016, 2.0 L, 110 000 km","Bakı, bugün 11:44"
23 900 AZN,Hyundai Elantra,"2017, 2.0 L, 110 000 km","Bakı, bugün 13:16"
16 800 AZN,Volkswagen Touareg,"2008, 4.2 L, 159 000 km","Bakı, bugün 12:24"
13 400 AZN,Chevrolet Cruze,"2014, 1.8 L, 152 000 km","Bakı, bugün 15:40"
30 000 AZN,Hyundai Santa Fe,"2016, 2.0 L, 203 800 km","Bakı, bugün 12:09"
12 500 AZN,Fiat 500,"2014, 70 000 km","Bakı, bugün 14:36"
22 000 AZN,Kia Sportage,"2010, 2.0 L, 70 000 km","Bakı, bugün 06:26"
26 500 AZN,BMW 328,"2015, 2.0 L, 181 067 km","Bakı, bugün 01:43"
25 000 $,Porsche Cayenne GTS,"2014, 4.8 L, 178 000 km","Bakı, bugün 01:40"
15 000 AZN,Hyundai i30,"2009, 1.6 L, 208 491 km","Beyləqan, bugün 01:35"
46 000 $,Mercedes E 300,"2020, 3.0 L, 53 000 km","Bakı, bugün 01:34"
36 000 $,BMW 650,"2012, 4.4 L, 136 000 km","Bakı, bugün 01:33"
17 000 AZN,Hyundai Accent,"2016, 1.6 L, 156 106 km","Bakı, bugün 14:32"
6 500 AZN,Opel Vectra,"2000, 1.8 L, 439 500 km","Bakı, bugün 01:31"
39 000 AZN,Mercedes Atego 1224,"2007, 6.4 L, 500 000 km","Bakı, bugün 01:30"
15 000 AZN,Toyota Prius,"2011, 1.8 L, 385 000 km","Şəmkir, bugün 01:56"
55 000 AZN,Skoda Kodiaq,"2022, 2.0 L, 68 000 km","Bakı, bugün 01:27"
4 800 AZN,LADA (VAZ) 2106,"2004, 1.5 L, 93 000 km","Yardımlı, bugün 01:26"
29 500 $,Toyota Land Cruiser Prado,"2011, 2.7 L, 49 000 km","Bakı, bugün 01:25"
10 400 AZN,Toyota Prius,"2005, 1.5 L, 304 166 km","Bakı, bugün 01:25"
25 500 $,Mercedes C 220 d,"2015, 2.2 L, 132 000 km","Bakı, bugün 01:25"
28 500 AZN,Toyota Camry,"2012, 2.5 L, 190 000 km","Bakı, bugün 01:24"
29 999 AZN,Mitsubishi Pajero,"2013, 3.0 L, 157 000 km","Bakı, bugün 01:23"
16 400 AZN,Audi Q7,"2007, 4.2 L, 183 400 km","Bakı, bugün 01:22"
31 500 AZN,Hyundai Santa Fe,"2014, 2.0 L, 195 000 km","Bakı, bugün 01:21"
23 500 AZN,Toyota Corolla,"2014, 1.6 L, 137 500 km","Bakı, bugün 01:56"
25 000 AZN,Mercedes Sprinter 315,"2008, 2.2 L, 182 000 km","Bakı, bugün 01:20"
16 500 AZN,Ford Transit,"1999, 2.5 L, 300 000 km","Gədəbəy, bugün 01:20"
26 000 AZN,Kia Forte,"2021, 2.0 L, 62 000 km","Bakı, bugün 01:19"
15 800 AZN,Mercedes E 270,"2003, 2.7 L, 271 313 km","Xırdalan, bugün 01:19"
80 000 $,Land Rover Range Rover,"2018, 3.0 L, 63 000 km","Bakı, bugün 01:19"
20 000 AZN,LADA (VAZ) Niva,"2025, 1.7 L, 0 km","Bakı, bugün 11:10"
28 500 AZN,Mercedes Vito 115,"2008, 2.2 L, 321 000 km","Sumqayıt, bugün 09:13"
36 000 AZN,Mercedes ML 350 4MATIC,"2010, 3.5 L, 303 000 km","Bakı, bugün 17:17"
18 900 $,Changan Qiyuan A06,"2023, 1.5 L, 0 km","Bakı, bugün 12:01"
21 000 AZN,Kia Forte,"2017, 2.0 L, 150 000 km","Bakı, bugün 12:11"
21 800 AZN,Kia Sportage,"2011, 2.0 L, 250 000 km","Bakı, bugün 19:26"
38 800 $,Land Rover Range Rover,"2015, 3.0 L, 151 000 km","Bakı, bugün 03:15"
16 900 AZN,Toyota Camry,"2007, 2.4 L, 190 000 km","Bakı, bugün 12:01"
70 500 $,Land Rover Range Rover,"2019, 3.0 L, 40 000 km","Bakı, bugün 00:44"
13 700 AZN,Chevrolet Cruze,"2016, 1.4 L, 148 000 km","Bakı, bugün 09:24"
31 200 AZN,Toyota Corolla,"2024, 1.8 L, 0 km","Bakı, dünən 20:34"
67 000 AZN,Mercedes S 500,"2014, 4.7 L, 103 700 km","Bakı, bugün 17:47"
4 500 AZN,GAZ 2705,"2000, 2.4 L, 250 000 km","Bakı, bugün 01:43"
26 500 AZN,BMW 328,"2015, 2.0 L, 181 067 km","Bakı, bugün 01:43"
25 000 $,Porsche Cayenne GTS,"2014, 4.8 L, 178 000 km","Bakı, bugün 01:40"
15 000 AZN,Hyundai i30,"2009, 1.6 L, 208 491 km","Beyləqan, bugün 01:35"
46 000 $,Mercedes E 300,"2020, 3.0 L, 53 000 km","Bakı, bugün 01:34"
36 000 $,BMW 650,"2012, 4.4 L, 136 000 km","Bakı, bugün 01:33"
17 000 AZN,Hyundai Accent,"2016, 1.6 L, 156 106 km","Bakı, bugün 14:32"
6 500 AZN,Opel Vectra,"2000, 1.8 L, 439 500 km","Bakı, bugün 01:31"
39 000 AZN,Mercedes Atego 1224,"2007, 6.4 L, 500 000 km","Bakı, bugün 01:30"
15 000 AZN,Toyota Prius,"2011, 1.8 L, 385 000 km","Şəmkir, bugün 01:56"
55 000 AZN,Skoda Kodiaq,"2022, 2.0 L, 68 000 km","Bakı, bugün 01:27"
4 800 AZN,LADA (VAZ) 2106,"2004, 1.5 L, 93 000 km","Yardımlı, bugün 01:26"
29 500 $,Toyota Land Cruiser Prado,"2011, 2.7 L, 49 000 km","Bakı, bugün 01:25"
10 400 AZN,Toyota Prius,"2005, 1.5 L, 304 166 km","Bakı, bugün 01:25"
25 500 $,Mercedes C 220 d,"2015, 2.2 L, 132 000 km","Bakı, bugün 01:25"
28 500 AZN,Toyota Camry,"2012, 2.5 L, 190 000 km","Bakı, bugün 01:24"
29 999 AZN,Mitsubishi Pajero,"2013, 3.0 L, 157 000 km","Bakı, bugün 01:23"
16 400 AZN,Audi Q7,"2007, 4.2 L, 183 400 km","Bakı, bugün 01:22"
31 500 AZN,Hyundai Santa Fe,"2014, 2.0 L, 195 000 km","Bakı, bugün 01:21"
23 500 AZN,Toyota Corolla,"2014, 1.6 L, 137 500 km","Bakı, bugün 01:56"
25 000 AZN,Mercedes Sprinter 315,"2008, 2.2 L, 182 000 km","Bakı, bugün 01:20"
16 500 AZN,Ford Transit,"1999, 2.5 L, 300 000 km","Gədəbəy, bugün 01:20"
26 000 AZN,Kia Forte,"2021, 2.0 L, 62 000 km","Bakı, bugün 01:19"
15 800 AZN,Mercedes E 270,"2003, 2.7 L, 271 313 km","Xırdalan, bugün 01:19"
22 900 $,Toyota Corolla Cross,"2024, 2.0 L, 0 km","Bakı, bugün 13:23"
42 500 AZN,UAZ Profi,"2023, 2.7 L, 0 km","Bakı, bugün 14:48"
19 500 $,Toyota Corolla Cross,"2025, 2.0 L, 0 km","Bakı, bugün 12:17"
32 000 AZN,LADA (VAZ) Vesta SW Cross,"2024, 1.8 L, 0 km","Bakı, bugün 16:00"
30 000 $,Mitsubishi L200,"2021, 2.4 L, 58 000 km","Bakı, bugün 19:49"
27 300 AZN,Mercedes Viano,"2007, 2.2 L, 450 000 km","Bakı, bugün 15:37"
36 700 AZN,BMW X4,"2014, 2.0 L, 147 000 km","Bakı, dünən 22:01"
35 300 AZN,Honda Accord,"2021, 1.5 L, 124 200 km","Bakı, bugün 08:53"
6 000 AZN,Opel Zafira,"2001, 2.0 L, 600 000 km","Bakı, bugün 13:36"
62 000 $,Jeep Gladiator,"2021, 3.6 L, 15 000 km","Bakı, bugün 15:50"
14 400 AZN,BMW 525,"2003, 2.5 L, 280 000 km","Bakı, dünən 20:43"
41 900 $,Land Rover Range Rover,"2016, 3.0 L, 106 000 km","Bakı, bugün 15:10"
26 000 AZN,Kia Forte,"2021, 2.0 L, 62 000 km","Bakı, bugün 01:19"
15 800 AZN,Mercedes E 270,"2003, 2.7 L, 271 313 km","Xırdalan, bugün 01:19"
80 000 $,Land Rover Range Rover,"2018, 3.0 L, 63 000 km","Bakı, bugün 01:19"
13 800 AZN,Kia Rio,"2006, 1.4 L, 243 000 km","Bakı, bugün 01:18"
26 900 AZN,Renault Talisman,"2018, 1.5 L, 220 000 km","Kürdəmir, bugün 01:18"
25 000 AZN,Hyundai H-1,"2011, 2.5 L, 205 000 km","Bakı, bugün 01:18"
22 000 AZN,BMW 730,"2009, 3.0 L, 323 000 km","Bakı, bugün 01:18"
23 000 AZN,Hummer H3,"2006, 0.4 L, 143 km","Bakı, bugün 01:17"
4 200 AZN,LADA (VAZ) 2106,"1992, 1.5 L, 55 968 km","Şəmkir, bugün 01:17"
16 500 AZN,Hyundai Veloster,"2012, 1.6 L, 232 000 km","Bakı, bugün 01:16"
24 900 AZN,Toyota Land Cruiser Prado,"2003, 2.7 L, 347 000 km","Bakı, bugün 01:16"
34 500 AZN,Kia Sorento,"2015, 2.0 L, 173 300 km","Bakı, bugün 01:15"
35 000 $,Mercedes CLA 200,"2019, 1.4 L, 60 000 km","Bakı, bugün 01:15"
26 000 $,Jeep Grand Cherokee,"2014, 3.6 L, 197 000 km","Bakı, bugün 01:15"
10 900 AZN,Opel Astra,"2005, 1.4 L, 230 000 km","Bakı, bugün 01:14"
21 500 $,Lexus RX 350,"2013, 3.5 L, 107 000 km","Bakı, bugün 01:13"
27 300 AZN,Mercedes ML 350,"2009, 3.5 L, 218 000 km","Bakı, bugün 01:13"
16 800 AZN,Chevrolet Cruze,"2015, 1.4 L, 220 000 km","Bakı, bugün 13:35"
23 900 AZN,Chevrolet Captiva,"2015, 2.0 L, 201 000 km","Bakı, bugün 01:55"
28 900 AZN,Toyota Camry,"2013, 2.5 L, 132 000 km","Bakı, bugün 01:12"
21 800 AZN,Lexus CT 200h,"2012, 1.8 L, 257 495 km","Bakı, bugün 01:19"
66 000 $,BMW 740,"2021, 3.0 L, 41 000 km","Bakı, bugün 01:10"
16 500 AZN,Chevrolet Cruze,"2014, 1.4 L, 205 000 km","Bakı, bugün 01:09"
23 800 AZN,Kia Optima,"2017, 1.6 L, 84 000 km","Bakı, bugün 01:09"
19 500 $,BYD Song Plus DM-İ,"2025, 1.5 L, 0 km","Bakı, bugün 00:08"
25 200 $,BYD Song Plus DM-İ,"2024, 1.5 L, 0 km","Bakı, bugün 15:06"
65 000 AZN,Hyundai HD-78,"2024, 2.9 L, 0 km","Bakı, bugün 15:07"
39 900 $,Voyah Free,"2024, 1.5 L, 0 km","Bakı, bugün 14:32"
57 000 AZN,Porsche Cayenne,"2017, 3.6 L, 143 000 km","Bakı, bugün 11:58"
21 800 AZN,Kia Sportage,"2011, 2.0 L, 250 000 km","Bakı, bugün 19:26"
19 900 $,Mercedes E 200,"2015, 2.0 L, 181 000 km","Bakı, bugün 19:44"
20 900 AZN,BMW 530,"2004, 3.0 L, 295 000 km","Şəki, bugün 01:05"
11 900 AZN,Mercedes E 200,"1999, 2.0 L, 300 000 km","Kürdəmir, bugün 12:00"
32 000 $,Lexus UX 200,"2022, 2.0 L, 10 800 km","Bakı, dünən 23:56"
29 500 AZN,Hyundai Grandeur,"2015, 2.2 L, 205 430 km","Bakı, bugün 10:18"
37 900 AZN,Kia Sorento,"2016, 2.2 L, 168 000 km","Bakı, bugün 14:58"
7 500 AZN,Yamaha Virago 535,"1998, 500 sm3, 50 000 km","Bakı, bugün 01:09"
2 900 AZN,Haojue KA150,"2019, 150 sm3, 1 000 km","Bakı, bugün 01:08"
52 000 $,Land Rover Range Rover,"2017, 3.0 L, 222 000 km","Bakı, bugün 01:08"
12 000 AZN,Opel Astra,"2005, 1.4 L, 225 000 km","Bakı, bugün 01:07"
18 500 AZN,Chevrolet Malibu,"2019, 1.5 L, 125 000 km","Bakı, bugün 01:07"
11 900 AZN,Toyota Corolla,"2005, 1.4 L, 215 000 km","Bakı, bugün 01:07"
8 500 AZN,LADA (VAZ) 2107,"2009, 1.6 L, 315 550 km","Sabirabad, bugün 01:06"
155 000 $,Land Rover Range Rover,"2022, 3.0 L, 63 000 km","Bakı, bugün 01:06"
27 900 AZN,BMW 528,"2016, 2.0 L, 153 000 km","Bakı, bugün 01:06"
27 000 AZN,BMW 328,"2013, 2.0 L, 207 000 km","Bakı, bugün 01:06"
116 500 $,Lexus LX 500d,"2022, 3.3 L, 64 700 km","Bakı, bugün 01:06"
17 950 AZN,Kia Sportage,"2008, 2.0 L, 186 870 km","Bakı, bugün 01:06"
35 000 $,Land Rover RR Sport,"2016, 3.0 L, 233 000 km","Bakı, bugün 01:05"
32 500 AZN,Kia Sorento,"2015, 2.0 L, 180 000 km","Bakı, bugün 01:05"
20 900 AZN,BMW 530,"2004, 3.0 L, 295 000 km","Şəki, bugün 01:05"
39 600 AZN,Honda HR-V,"2023, 2.0 L, 14 250 km","Bakı, bugün 01:04"
85 500 $,Land Rover Range Rover,"2019, 3.0 L, 88 000 km","Bakı, bugün 01:04"
25 400 AZN,LADA (VAZ) Granta,"2024, 1.6 L, 19 890 km","Xırdalan, bugün 01:03"
27 500 AZN,Mercedes GL 550,"2009, 5.5 L, 194 000 km","Bakı, bugün 17:10"
16 500 AZN,Toyota Prius,"2007, 1.5 L, 330 000 km","Bakı, bugün 10:11"
12 500 AZN,Mercedes E 240,"1998, 2.4 L, 324 540 km","Şirvan, bugün 01:02"
24 900 AZN,BYD Destroyer 05,"2024, 1.5 L, 9 000 km","Bakı, bugün 01:02"
31 200 AZN,Changan Qiyuan Q05,"2025, 1.5 L, 0 km","Bakı, bugün 01:02"
17 700 AZN,Toyota Prius,"2011, 1.8 L, 286 000 km","Bakı, bugün 01:02"
89 300 AZN,Toyota Highlander,"2024, 2.5 L, 0 km","Bakı, bugün 13:12"
31 500 AZN,Changan Qiyuan Q05,"2025, 1.5 L, 0 km","Bakı, bugün 11:59"
5 600 AZN,C.Moto CM250R-HY,"2023, 250 sm3, 0 km","Bakı, bugün 20:15"
59 900 AZN,Skoda Kodiaq,"2023, 2.0 L, 0 km","Bakı, bugün 10:03"
37 400 $,Lexus ES 300h,"2019, 2.5 L, 43 300 km","Bakı, bugün 15:03"
75 000 $,Mercedes GLC 200 4MATIC+ Coupe,"2024, 2.0 L, 18 000 km","Bakı, bugün 13:57"
